razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
LIGA DE BEACH TENNIS DO ESTADO DE SAO PAULO,NÃO INFORMADO,Associação Privada,2010,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,marape,cultura e recreação,esporte e recreação
ASSOCIACAO DOS MORADORES E AMIGOS DA ANTIGA SANTISTA,NÃO INFORMADO,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,macuco,outras atividades associativas,associações de atividades não especificadas anteriormente
INSTITUTO O GRANDE LANCE,O GRANDE LANCE,Associação Privada,2011,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE AMIGOS DA CORPORACAO MUSICAL E COREOGRAFICA DE SANTOS,NÃO INFORMADO,Associação Privada,2011,NÃO INFORMADO,NÃO INFORMADO,jd bom retiro,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSEMBLEIA DE DEUS MINISTERIO VISAO DO CEU,ASSEMBLEIA VISAO DO CEU,Organização Religiosa,2013,NÃO INFORMADO,NÃO INFORMADO,morro da penha,religião,religião
C.M.S  CONFRARIA  MACONICA  SANTISTA,C.M.S,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,boqueirao,religião,religião
SANTOS FUTEBOL CLUBE,CENTRO DE TREINAMENTO REI PELE,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,jabaquara,cultura e recreação,esporte e recreação
ASSOCIACAO DE MORADORES DAS CASAS POPULARES DO BAIRRO ESTUARIO,AMOCAPE,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,estuario,desenvolvimento e defesa de direitos,outros
DIRETORIO ACADEMICO DE MEDICINA VETERINARIA IX DE SETEMBRO,NÃO INFORMADO,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,morro de nova cintra,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO LEDA MASCARENHAS DE QUEIROZ,LEDA,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
ORGANIZACAO SOCIAL BENEFICENTE CRISTA DE ASSISTENCIA SOCIAL A SAUDE E EDUCACAO - ORGANIZACAO MAOS AMIGAS,A ORGANIZACAO MAOS AMIGAS,Organização Social,2010,NÃO INFORMADO,NÃO INFORMADO,boqueirao,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO PROJETO MUSICA TRANSFORMANDO VIDAS - PROMUVI,PROMUVI,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,vila mathias,cultura e recreação,cultura e arte
ASSOCIACAO SOCIO EDUCATIVA DE ESPORTE E LAZER - ASEEL,ASEEL,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,morro sao bento,desenvolvimento e defesa de direitos,outros
MINISTERIO EVANGELICO DEUS E FIEL,MINISTERIO EVANGELICO DEUS E FIEL,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,chico de paula,religião,religião
TEMPLO DE UMBANDA MENSAGEIROS DA LUZ DIVINA,TEMPLO DE UMBANDA MENSAGEIROS DA LUZ DIVINA,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,vila nova,religião,religião
GREMIO AMIGOS VOLEI DA APARECIDA,NÃO INFORMADO,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,ponta da praia,cultura e recreação,esporte e recreação
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,NÃO INFORMADO,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,chico de paula,assistência social,assistência social
CEAVI CENTRO EVANGELICO DE APOIO A VIDA,NÃO INFORMADO,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,bom retiro,religião,religião
ASSOCIACAO DE ESPORTES COLIGACAO SAUDE AECS,COLIGACAO SAUDE,Associação Privada,1996,NÃO INFORMADO,NÃO INFORMADO,embare,desenvolvimento e defesa de direitos,outros
"NATIVA-ASSOCIACAO COMUNITARIA, CULTURAL E ARTISTICA DA ZONA NOROESTE",NÃO INFORMADO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,jardim castelo,desenvolvimento e defesa de direitos,outros
UNIAO DOS TRIATLETAS E CORREDORES DA BAIXADA,NÃO INFORMADO,Associação Privada,1996,NÃO INFORMADO,NÃO INFORMADO,castelo,desenvolvimento e defesa de direitos,outros
GRUHBAS PROJETOS EDUCACIONAIS E CULTURAIS,GRUHBAS - PROJETOS EDUCACIONAIS,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,aparecida,desenvolvimento e defesa de direitos,outros
ASSOCIACAO COMUNITARIA RADIO TOTAL FM,RADIO TOTAL FM,Associação Privada,1997,NÃO INFORMADO,NÃO INFORMADO,estuario,outras atividades associativas; outros,associações de atividades não especificadas anteriormente
ASTAIPE - ASSOCIACAO DOS TRABALHADORES APOSENTADOS E PENSIONISTAS DO SISTEMA PETROBRAS,ASTAIPE,Associação Privada,1991,NÃO INFORMADO,NÃO INFORMADO,macuco,desenvolvimento e defesa de direitos,outros
IGREJA EVANGELICA PENTECOSTAL CONSELHEIRO DA PAZ,CONSELHEIRO DA PAZ,Associação Privada,1992,NÃO INFORMADO,NÃO INFORMADO,vila sao jorge,religião,religião
GRUPO FAMILIA TEATRAL,NÃO INFORMADO,Associação Privada,1990,NÃO INFORMADO,NÃO INFORMADO,jd castelo,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BRASILEIRA DE FORNECEDORES A NAVIOS,A.B.F.N.,Associação Privada,1979,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,estuario,desenvolvimento e defesa de direitos,outros
ASSOCIACAO BENEFICIENTE DOS ALFAIATES DE SANTOS,NÃO INFORMADO,Associação Privada,1982,NÃO INFORMADO,NÃO INFORMADO,macuco,assistência social,assistência social
GREMIO DOS RESERV DA AERONAUTICA DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1983,NÃO INFORMADO,NÃO INFORMADO,embare,cultura e recreação,esporte e recreação
GREMIO DOS APOSENTADOS DA PETROBRAS,NÃO INFORMADO,Associação Privada,1994,NÃO INFORMADO,NÃO INFORMADO,ponta da praia,cultura e recreação,esporte e recreação
GREMIO RECREATIVO E ESCOLA DE SAMBA UNIAO IMPERIAL,ESCOLA DE SAMBA UNIAO IMPERIAL,Associação Privada,1976,NÃO INFORMADO,NÃO INFORMADO,marape,cultura e recreação,esporte e recreação
POMPEIA PRAIA CLUBE,NÃO INFORMADO,Associação Privada,1977,NÃO INFORMADO,NÃO INFORMADO,marape,cultura e recreação,esporte e recreação
ASSOCIACAO DOS FARMACEUTICOS DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1978,NÃO INFORMADO,NÃO INFORMADO,boqueirao,"associações patronais, profissionais e de produtores rurais",associações profissionais
ASSOCIACAO DESPORTIVA CLASSISTA UNION CARBIDE,NÃO INFORMADO,Associação Privada,1993,NÃO INFORMADO,NÃO INFORMADO,gonzaga,cultura e recreação,esporte e recreação
G.RECREATIVO ACADEMIA DE SAMBA UNIDOS DA ZONA NOROESTE,NÃO INFORMADO,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,areia branca,cultura e recreação,esporte e recreação
SOCIEDADE UNIVERSITARIA DE SANTOS,SUSAN CAMPUS BANDEIRANTE I,Associação Privada,1987,NÃO INFORMADO,NÃO INFORMADO,vila matias,educação e pesquisa; outras atividades associativas,associações de atividades não especificadas anteriormente
GREMIO RECREATIVO ESCOLA DE SAMBA X 9,NÃO INFORMADO,Associação Privada,1981,NÃO INFORMADO,NÃO INFORMADO,estuario,cultura e recreação,esporte e recreação
GREMIO RECREATIVO E ESPORTIVO GRANEL QUIMICA,NÃO INFORMADO,Associação Privada,1982,NÃO INFORMADO,NÃO INFORMADO,centro,cultura e recreação,esporte e recreação
AUGUSTA LOJA DE PERFEICAO ANDRADAS,NÃO INFORMADO,Associação Privada,1983,NÃO INFORMADO,NÃO INFORMADO,vila nova,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DESPORTIVA CLASSISTA AFONSO,NÃO INFORMADO,Associação Privada,1984,NÃO INFORMADO,NÃO INFORMADO,vila mathias,cultura e recreação,esporte e recreação
SOCIEDADE DE CAES PASTORES ALEMAES DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,boqueirao,cultura e recreação,esporte e recreação
TOURING CLUB DO BRASIL,NÃO INFORMADO,Associação Privada,1972,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
CENTRO BENEFICENTE DOS MOTORISTAS DE SAO PAULO,NÃO INFORMADO,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,centro,saúde,outros serviços de saúde
OIKOS MUNDI A ORGANIZACAO CIDADA,OIKOS MUNDI A ORGANIZACAO CIDADA,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,aparecida,desenvolvimento e defesa de direitos,outros
ASSOCIACAO MISSAO AOS MARINHEIROS,NÃO INFORMADO,Associação Privada,1967,NÃO INFORMADO,NÃO INFORMADO,gonzaga,desenvolvimento e defesa de direitos,outros
AUTOMOVEL CLUBE DO ESTADODE SAO PAULO,AUTOMOVEL CLUBE,Associação Privada,1971,NÃO INFORMADO,NÃO INFORMADO,do macuco,cultura e recreação,esporte e recreação
ASSOCIACAO COMERCIAL INDUSTRIAL E PESQUEIRA DE BERTIOGA,NÃO INFORMADO,Associação Privada,1986,NÃO INFORMADO,NÃO INFORMADO,bertioga,"associações patronais, profissionais e de produtores rurais",associações empresariais e patronais
ASSOCIACAO CIVICA E BENEFICIENTE DOS APOSENTADOS E PENSIONISTAS DA CATEGORIA DOS ESTIVADORES DO ESTADO DE SAO PAULO,NÃO INFORMADO,Associação Privada,1970,NÃO INFORMADO,NÃO INFORMADO,macuco,assistência social,assistência social
GRUPO ESPIRITA RECANTO DA PAZ,NÃO INFORMADO,Associação Privada,1990,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,religião,religião
ASSOCIACAO ATLETICA BANCO REAL,NÃO INFORMADO,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,centro,cultura e recreação,esporte e recreação
ASSOCIACAO BENEFICENTE REENCONTRO COM A VIDA,REENCONTRO COM A VIDA,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,vila mathias,religião,religião
MOVIMENTO EDUCACIONAL E ASSISTENCIAL DA BAIXADA SANTISTA,MOVEABAS,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
PROJETO ZONA NOROESTE NUCLEO DE ARTE DE SANTOS - PROJETO ZONNARTE,PROJETO ZONNARTE,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,saúde,outros serviços de saúde
COLETIVO ALTERNATIVA VERDE - CAVE,CAVE,Associação Privada,1991,NÃO INFORMADO,NÃO INFORMADO,estuario,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO FAMA INDUSTRIAL,G.R. FISA,Associação Privada,1987,NÃO INFORMADO,NÃO INFORMADO,vila nova,cultura e recreação,esporte e recreação
ORDEM FRANCISCANA SECULAR- FRATERNIDADE DO EMBARE,ROUPEIRO SANTA IZABEL,Associação Privada,1970,NÃO INFORMADO,NÃO INFORMADO,embare,religião,religião
ESPORTE CLUBE INDEPENDENCIA,INDEPENDENCIA,Associação Privada,2000,NÃO INFORMADO,NÃO INFORMADO,gonzaga,cultura e recreação,esporte e recreação
IGREJA EVANGELICA VERBO DA VIDA SANTOS - EMBARE,NÃO INFORMADO,Associação Privada,2000,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,embare,religião,religião
LIGA DE CICLISMO DO LITORAL DO ESTADO DE SO PAULO,LIGA DE CICLISMO DO LITORAL DO ESTADO DE SO PAULO,Associação Privada,2001,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,vila mathias,cultura e recreação,esporte e recreação
CENTRO DE ESTUDOS UNIFICADOS BANDEIRANTE,UNIMES,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,educação e pesquisa; outras atividades associativas,associações de atividades não especificadas anteriormente
INSTITUTO GPA DE DESENVOLVIMENTO HUMANO,NÃO INFORMADO,Associação Privada,2001,NÃO INFORMADO,NÃO INFORMADO,gonzaga,desenvolvimento e defesa de direitos,outros
CENTRO DE ESTUDOS FILOSOFICOS DE SANTOS,CEFS,Associação Privada,2000,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
ESTRADEIROS DA LIBERDADE - MOTO CLUBE,NÃO INFORMADO,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
ASSOCIACAO ATLETICA ACADEMICA ORLANDO ROLLO,ASSOCIACAO ATLETICA ACADEMICA ORLANDO ROLLO,Associação Privada,2002,NÃO INFORMADO,NÃO INFORMADO,boqueirao,cultura e recreação,esporte e recreação
ROTARACT CLUB DE SANTOS PRAIA - SANTA CECILIA,NÃO INFORMADO,Associação Privada,2002,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,desenvolvimento e defesa de direitos,outros
MNISTERIO EVANGELICO RAFAH,NÃO INFORMADO,Associação Privada,2003,NÃO INFORMADO,NÃO INFORMADO,macuco,religião,religião
GRUPO DE AMIGOS CEU ABERTO - GACA,NÃO INFORMADO,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DE DIFUSAO COMUNITARIA - ALVORADA NOVA,NÃO INFORMADO,Associação Privada,2004,NÃO INFORMADO,NÃO INFORMADO,encruzilhada,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO T-33,NÃO INFORMADO,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,macuco,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ACADEMICOS BANDEIRANTES DO SABOO,NÃO INFORMADO,Associação Privada,1999,NÃO INFORMADO,NÃO INFORMADO,saboo,desenvolvimento e defesa de direitos,outros
MINISTERIO APOSTOLICO CASA DO PAO,CASA DO PAO,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,jose menino,religião,religião
SOCIEDADE ESPORTIVA CANTAREIRA,NÃO INFORMADO,Associação Privada,2006,Atividades esportivas não especificadas anteriormente,Produção e promoção de eventos esportivos,jardim radio clube,cultura e recreação,esporte e recreação
IGREJA EVANGELICA PALACIO REAL DO REI JESUS,I.E. PALACIO REAL DO REI JESUS,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,castelo,religião,religião
ASSOCIACAO MATER NINS,ASSOCIACAO MATER NINS,Associação Privada,2007,Atividades de organizações associativas ligadas à cultura e à arte,Atividades de organizações associativas ligadas à cultura e à arte,vila mathias,cultura e recreação,cultura e arte
OPALA CLUBE DE SANTOS,OPALA CLUBE DE SANTOS,Associação Privada,2006,NÃO INFORMADO,NÃO INFORMADO,jose menino,desenvolvimento e defesa de direitos,outros
S T C SOCIEDADE DE TRABALHOS COMUNITARIOS,NÃO INFORMADO,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
CLUBE WIN,WIN,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,pompeia,cultura e recreação,esporte e recreação
IGREJA EVANGELICA ASSEMBLEIA DE DEUS RIBEIRAOPIRENSE,IE ASS. DE DEUS RIBEIRAOPIRENSE FILIAL JD. STA MARIA 8,Organização Religiosa,2008,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,santa maria,religião,religião
NUCLIM NUCLEO DE LIDERANCA DE MULHERES DA ZONA NOROESTE - SANTOS-SP,NÃO INFORMADO,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,desenvolvimento e defesa de direitos,outros
ASSOCIACAO LITORAL EM MISSAO,LEMI,Associação Privada,2008,NÃO INFORMADO,NÃO INFORMADO,bom retiro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS MORADORES DO CONJUNTO HABITACIONAL JARDIM RADIO CLUBE,NÃO INFORMADO,Associação Privada,2005,NÃO INFORMADO,NÃO INFORMADO,jardim radio clube,outras atividades associativas,associações de atividades não especificadas anteriormente
GREMIO RECREATIVO CULTURAL E SOCIAL ESPORTIVO BLOCO CARNAVALESCO IMPERIO DO PORTO,BLOCO CARNAVALESCO IMPERIO DO PORTO,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,vila mathias,outras atividades associativas,associações de atividades não especificadas anteriormente
ONG BELISSIMA,ONG BELISSIMA,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,vila nova,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS MEMBROS DA COMISSAO ORGANIZADORA DO COMAS - CONGRESSO MEDICO ACADEMICO DE SANTOS,NÃO INFORMADO,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,boqueirao,outras atividades associativas,associações de atividades não especificadas anteriormente
ABASSA VOVO BENEDITA DO CONGO MUKONGO E MATAMBA,ABASSA VOVO BENEDITA DO CONGO MUKONGO E MATAMBA,Associação Privada,2009,NÃO INFORMADO,NÃO INFORMADO,vila sao jorge,cultura e recreação,cultura e arte
INSTITUTO ESPIRITUAL XAMANICO CASA DO CAMINHO,NÃO INFORMADO,Organização Religiosa,2010,NÃO INFORMADO,NÃO INFORMADO,campo grande,religião,religião
ASSOCIACAO DE ASSISTENCIA SOCIAL VIVER BEM,INSTITUTO VIVER BEM,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,sao jorge,outras atividades associativas,associações de atividades não especificadas anteriormente
"LOJA MACONICA ''BARAO DE MAUA'' , N. 3521",NÃO INFORMADO,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,vila mathias,religião,religião
CEU ESPIRITUAL SAMAELINO,NÃO INFORMADO,Organização Religiosa,2010,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,ponta da praia,religião,religião
IGREJA EVANGELICA CRISTO A VISAO,IGREJA CRISTO A VISAO,Organização Religiosa,2010,NÃO INFORMADO,NÃO INFORMADO,vila progresso,religião,religião
ASSOCIACAO CRISTA SOCIAL,ACRIS,Associação Privada,2011,Atividades associativas não especificadas anteriormente,Atividades associativas não especificadas anteriormente,macuco,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO DOS EX-ALUNOS DO CURSO DE SERVICO SOCIAL DA UNIVERSIDADE CATOLICA DE SANTOS - ASSEASSO,NÃO INFORMADO,Associação Privada,2010,NÃO INFORMADO,NÃO INFORMADO,vila mathias,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO PEIXINHO DO MAR,NÃO INFORMADO,Organização Religiosa,2011,NÃO INFORMADO,NÃO INFORMADO,vila nova,religião,religião
ASSOCIACAO DE TAEKWONDO FREDY MASSA,ATFM,Associação Privada,2012,NÃO INFORMADO,NÃO INFORMADO,campo grande,cultura e recreação,esporte e recreação
ASSOCIACAO CULTURAL GRUPO RAIZES DE VILA NOVA,ASSOCIACAO CULTURAL RAIZES DE VILA NOVA,Associação Privada,2012,NÃO INFORMADO,NÃO INFORMADO,bom retiro,assistência social; cultura e recreação,cultura e arte
CENTRO DE CAPACITACAO DE JOVENS E ADULTOS DE SANTOS - CECAJAS,CRECHE SONHO DE CRIANCA,Associação Privada,2012,NÃO INFORMADO,NÃO INFORMADO,bom retiro,educação e pesquisa,educação infantil
"ASSOCIACAO DESPORTIVA E CULTURAL DOS TRABALHADORES NA MOVIMENTACAO DE MERCADORIAS EM GERAL E DOS ARRUMADORES DE SANTOS, SAO VICENTE, GUARUJA....",ADC SINTRAMMAR,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila matias,cultura e recreação,cultura e arte
ASSOCIACAO ATLETICA ATLANTA,ATLANTA,Associação Privada,2013,NÃO INFORMADO,NÃO INFORMADO,vila mathias,cultura e recreação,esporte e recreação
"SOCIEDADE DE MELHORAMENTOS, AMIGOS E MORADORES DA VILA BELMIRO",AMIGOS E MORADORES DA VILA BELMIRO,Associação Privada,2007,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,outras atividades associativas,associações de atividades não especificadas anteriormente
ASSOCIACAO HABITACIONAL E ASSISTENCIAL SANTA  MARIA GORETTI,NÃO INFORMADO,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
LIVE LAB,LIVE LAB,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO ARTE DE REUTILIZAR,ASSOCIACAO ARTE DE REUTILIZAR,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila sao jorge,outras atividades associativas,associações de atividades não especificadas anteriormente
CONSELHO DE MESTRES INSTALADOS DA BAIXADA SANTISTA-CMI-BS,NÃO INFORMADO,Associação Privada,2014,NÃO INFORMADO,NÃO INFORMADO,vila nova,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO S.MAGALHAES,NÃO INFORMADO,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,centro,cultura e recreação,esporte e recreação
CASA ESPIRITA MARIA MODESTO CRAVO,NÃO INFORMADO,Organização Religiosa,2015,NÃO INFORMADO,NÃO INFORMADO,santa maria,religião,religião
SOCIEDADE BRASILEIRA DE TERAPIAS HOLISTICAS,SBTH,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,boqueirao,saúde,outros serviços de saúde
ASSOCIACAO AMIGOS DO ALVORADA,NÃO INFORMADO,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,boqueirao,cultura e recreação,esporte e recreação
ASSOCIACAO DE MOTORISTAS DE TAXIS EXECUTIVOS E ESPECIAIS DE SANTOS,EXECUTIVE TAXI,Associação Privada,2015,NÃO INFORMADO,NÃO INFORMADO,vila mathias,"associações patronais, profissionais e de produtores rurais",associações profissionais
INSTITUTO DO MAR JUNIOR,NÃO INFORMADO,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,vila belmiro,educação e pesquisa,atividades de apoio à educação
ASSOCIACAO DE MORADORES DO CONJUNTO CANELEIRA IV,ASSOCIACAO DE MORADORES DO CONJUNTO CANELEIRA IV,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,caneleira,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS APOSENTADOS E PENSIONISTAS DA POLICIA CIVIL DO ESTADO DE SAO PAULO,APCESP,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
ASSOCIACAO DOS MORADORES E COMERCIANTES DO BOQUEIRAO,ASSOCIACAO DOS MORADORES E COMERCIANTES DO BOQUEIRAO,Associação Privada,2016,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
ABCD-ASSOCIACAO BRASILEIRA DE COMBATE AS DROGAS,NÃO INFORMADO,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO CULTURAL E ESPORTIVO MEMORIAL,NÃO INFORMADO,Associação Privada,1996,NÃO INFORMADO,NÃO INFORMADO,gonzaga,cultura e recreação,esporte e recreação
GREMIO RECREATIVO E ESPORT DOS FUNC DO BANESPA VMATH,GREVILA,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,vila matias,cultura e recreação,esporte e recreação
CVI - CENTRO DE VIDA INDEPENDENTE DE SANTOS,CVI/SANTOS,Associação Privada,1995,NÃO INFORMADO,NÃO INFORMADO,boqueirao,desenvolvimento e defesa de direitos,outros
IGREJA PRESBITERIANA DO MARAPE,PRESBITERIANA DO MARAPE,Associação Privada,1996,NÃO INFORMADO,NÃO INFORMADO,marape,religião,religião
COMUNIDADE EVANGELICA PRIMITIVOS DA FE,NÃO INFORMADO,Associação Privada,1997,NÃO INFORMADO,NÃO INFORMADO,morro do sao bento,religião,religião
CLUBE DE BOCHAS PONTE VERMELHA,NÃO INFORMADO,Associação Privada,1982,NÃO INFORMADO,NÃO INFORMADO,marape,cultura e recreação,esporte e recreação
CEFAS CENTRO DE FORMACAO PARA APOSTOLADO DE SANTOS,NÃO INFORMADO,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,jabaquara,religião,religião
SPARTA HALTERES CLUBE,NÃO INFORMADO,Associação Privada,1975,NÃO INFORMADO,NÃO INFORMADO,macuco,cultura e recreação,esporte e recreação
GREMIO RECREATIVO COSTA BRAVA,NÃO INFORMADO,Associação Privada,1977,NÃO INFORMADO,NÃO INFORMADO,boqueirao,cultura e recreação,esporte e recreação
CASA ESPIRITA ALEM MAR,CEAM,Associação Privada,1977,NÃO INFORMADO,NÃO INFORMADO,macuco,religião,religião
"GREMIO RECREATIVO, CULTURAL E ESCOLA DE SAMBA UNIDOS DOS MORROS",G.R.C.E.S. U. M.,Associação Privada,1978,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,morro nova  cintra,desenvolvimento e defesa de direitos,outros
CENTRO DE ESTUDO DE CIENCIAS DO COMPORTAMENTO DE SANTOS,NÃO INFORMADO,Associação Privada,1979,NÃO INFORMADO,NÃO INFORMADO,jose menino,educação e pesquisa; outras atividades associativas,associações de atividades não especificadas anteriormente
GREMIO RECREATIVO CULTURAL ESCOLA DE SAMBA ULTIMA HORA,ESCOLA DE SAMBA ULTIMA HORA,Associação Privada,1980,NÃO INFORMADO,NÃO INFORMADO,vila mathias,desenvolvimento e defesa de direitos,outros
TELESP CLUBE DE SANTOS,TCS,Associação Privada,1981,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
GREMIO RECREATIVO CULTURAL CLUBE DO SAMBA,CLUBE DO SAMBA,Associação Privada,1984,NÃO INFORMADO,NÃO INFORMADO,centro,desenvolvimento e defesa de direitos,outros
CLUBE DE DIRETORES LOJISTAS DA ZONA LESTE SANTOS,NÃO INFORMADO,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,embare,desenvolvimento e defesa de direitos,outros
ASSOCIACAO RECREATIVA E CULTURAL REAL MOCIDADE SANTISTA - ARCRMS,ESCOLA DE SAMBA REAL MOCIDADE,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,marape,cultura e recreação,cultura e arte
FEDERACAO DE BANDEIRANTES DO BRASIL,NÃO INFORMADO,Associação Privada,1972,NÃO INFORMADO,NÃO INFORMADO,não informado,desenvolvimento e defesa de direitos,outros
COMUNIDADE MISSIONARIA DA PAZ NO BRASIL,NÃO INFORMADO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,vila sao jorge,religião,religião
ASSOCIACAO ATLETICA ACADEMICA DA FACULDADE DE MEDICINA DA UNIMES,NÃO INFORMADO,Associação Privada,1998,NÃO INFORMADO,NÃO INFORMADO,vila matias,desenvolvimento e defesa de direitos,outros
TENDA ESPIRITA DE UMBANDA ESTRELA D ALVA,NÃO INFORMADO,Associação Privada,1985,NÃO INFORMADO,NÃO INFORMADO,marape,religião,religião
MITRA DIOCESANA DE SANTOS,PAROQUIA SAO JORGE MARTIR,Organização Religiosa,1972,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,estuario,religião,religião
