razao_social_osc,nome_fantasia_osc,natureza_juridica,ano_inicio,classe_atividade_economica,subclasse_atividade_economica,bairro,area_atuacao,subarea_atuacao
IGREJA BATISTA PENIEL,CONGREGACAO DA IG BAT PENIEL DECIMA NONA RENOV LITORAL,Organização Religiosa,2001,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,macuco,religião,religião
IGREJA BATISTA PENIEL,PENIEL FACE A FACE COM DEUS - SANTOS,Organização Religiosa,2011,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,jose menino,religião,religião
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA DAMASCO,NÃO INFORMADO,Associação Privada,1977,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Instituições de longa permanência para idosos,encruzilhada,religião,religião
GREMIO RECREATIVO DOS VIGIAS PORTUARIOS DE SANTOS GRVPS,NÃO INFORMADO,Associação Privada,1977,"Clubes sociais, esportivos e similares","Clubes sociais, esportivos e similares",encruzilhada,cultura e recreação,esporte e recreação
ASSOCIACAO DE INSTRUCAO POPULAR E BENEFICENCIA,CENTRO SOCIO-COMUNITARIO NOSSA SENHORA DO MONTE SERRAT,Associação Privada,2005,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,gonzaga,religião,religião
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA LIBERDADE N. 197,NÃO INFORMADO,Associação Privada,1979,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,macuco,desenvolvimento e defesa de direitos; religião,religião
GREMIO DOS GRAFICOS DA BAIXADA SANTISTA,NÃO INFORMADO,Associação Privada,1978,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,centro,cultura e recreação,esporte e recreação
CLUBE FOTO AMIGOS DE SANTOS,CLUBE FOTO AMIGOS,Associação Privada,1979,NÃO INFORMADO,NÃO INFORMADO,campo grande,desenvolvimento e defesa de direitos,outros
CONVENCAO DAS IGREJAS EVANGELICAS HOLINESS DO BRASIL,IGREJA EVANGELICA HOLINESS DE SANTOS,Associação Privada,1983,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,bairro encruzilhada,religião,religião
SOCIEDADE DE MELHORAMENTOS DO MORRO DA NOVA CINTRA,NÃO INFORMADO,Associação Privada,1979,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,nova cintra,desenvolvimento e defesa de direitos,outros
