id_osc,tx_razao_social_osc,tx_nome_fantasia_osc,cd_natureza_juridica_osc,tx_nome_natureza_juridica,ano_inicio,div_cnae20_corrigido,grp_cnae20_corrigido,clas_cnae20_corrigido,tx_nome_classe_atividade_economica,sbcl_cnae_corrigido,tx_nome_subclasse_atividade_economica,tx_bairro,edmu_cd_municipio,edmu_nm_municipio,eduf_cd_uf,eduf_sg_uf,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
608187,CLUBE DE REGATAS SALDANHA DA GAMA,,3999,Associação Privada,1969.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",PONTA DA PRAIA,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
608188,ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE SANTOS,,3999,Associação Privada,1981.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
608237,SOCIEDADE DE SOCORROS MUTUOS E BENEF ROSALIA DE CASTRO,,3999,Associação Privada,1969.0,84.0,843.0,84302.0,Seguridade social obrigatória,8430200.0,Seguridade social obrigatória,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Outras atividades associativas; Outros,Associações de atividades não especificadas anteriormente
608238,CLUBE SETE DE SETEMBRO,,3999,Associação Privada,1969.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
608297,ASSOCIACAO BRASILEIRA DE EDUCACAO E CULTURA -ABEC,CENTRO SOCIAL MARISTA LAR FELIZ,3999,Associação Privada,1988.0,94.0,949.0,94995.0,Atividades associativas não especificadas anteriormente,9499500.0,Atividades associativas não especificadas anteriormente,VL.NOVA,3548500.0,Santos,35.0,SP,Outras atividades associativas,Associações de atividades não especificadas anteriormente
608639,BENEFICENCIA NIPO BRASILEIRA DE SAO PAULO,,3999,Associação Privada,1978.0,87.0,873.0,87301.0,Atividades de assistência social prestadas em residências coletivas e particulares,8730199.0,Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente,CENTRO,3548500.0,Santos,35.0,SP,Assistência social; Outras atividades associativas,Assistência social; Associações de atividades não especificadas anteriormente
608897,ASSOCIACAO INSTRUTORA DA JUVENTUDE FEMININA,COLEGIO STELLA MARIS,3999,Associação Privada,1966.0,85.0,851.0,85139.0,Ensino fundamental,8513900.0,Ensino fundamental,BOQUEIRAO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Ensino fundamental
608934,ALIANCA PRO EVANGELIZACAO DAS CRIANCAS,APEC,3999,Associação Privada,2002.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,VILA BELMIRO,3548500.0,Santos,35.0,SP,Outras atividades associativas,Associações de atividades não especificadas anteriormente
609200,SEICHO-NO-IE DO BRASIL,,3220,Organização Religiosa,1977.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,VL MATHIAS,3548500.0,Santos,35.0,SP,Religião,Religião
609223,PROVINCIA CLARETIANA DO BRASIL,COMUNIDADE CLARETIANA DE SANTOS,3220,Organização Religiosa,1966.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,BELMIRO,3548500.0,Santos,35.0,SP,Religião,Religião
609508,ASSOCIACAO DOS CABOS E SOLDADOS DA PM DO EST.S.PAULO,,3999,Associação Privada,1972.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
609534,ASSOCIACAO DESP POLICIA MILITAR DO ESTADO DE SAO PAULO,,3999,Associação Privada,1976.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",APARECIDA,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
609556,CENTRO DO PROFESSORADO PAULISTA,,3999,Associação Privada,1974.0,94.0,941.0,94120.0,Atividades de organizações associativas profissionais,9412000.0,Atividades de organizações associativas profissionais,JOSE MENINO,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
609566,ASSOCIACAO DOS OFIC DA POLICIA MILITAR DO EST .SAO PAULO - AOPM,CAMPING DE BORACEIA,3999,Associação Privada,1987.0,93.0,932.0,93298.0,Atividades de recreação e lazer não especificadas anteriormente,9329899.0,Outras atividades de recreação e lazer não especificadas anteriormente,BALNEARIO MOGIANO,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
609595,PIA SOCIEDADE DOS MISSIONARIOS DE S CARLOS,STELLA MARIS,3999,Associação Privada,1971.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,Não informado,3548500.0,Santos,35.0,SP,Assistência social,Assistência social
609843,CENTRO DE INTEGRACAO EMPRESA ESCOLA CIE E,,3999,Associação Privada,1979.0,94.0,949.0,94995.0,Atividades associativas não especificadas anteriormente,9499500.0,Atividades associativas não especificadas anteriormente,GONZAGA,3548500.0,Santos,35.0,SP,Assistência social,Assistência social
609875,CENTRO ESPIRITA NOSSO LAR CASAS ANDRE LUIZ,,3999,Associação Privada,2003.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Religião,Religião
609876,CENTRO ESPIRITA NOSSO LAR CASAS ANDRE LUIZ,CASAS ANDRE LUIZ,3999,Associação Privada,2003.0,82.0,822.0,82202.0,Atividades de teleatendimento,8220200.0,Atividades de teleatendimento,APARECIDA,3548500.0,Santos,35.0,SP,Religião,Religião
610214,CASA DE CULTURA DA MULHER NEGRA,CASA DE CULTURA DA MULHER NEGRA,3999,Associação Privada,1990.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,BOQUEIRAO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
610268,PROVINCIA FRANCISCANA DA IMACULADA CONCEICAO DO BRASIL,RESIDENCIA FRANCISCANA DESANTO ANTONIO DO VALONGO,3220,Organização Religiosa,1969.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,VALONGO,3548500.0,Santos,35.0,SP,Religião,Religião
610616,CENTRO DAS INDUSTRIAS DO ESTADO DE SAO PAULO,,3999,Associação Privada,1985.0,94.0,941.0,94111.0,Atividades de organizações associativas patronais e empresariais,9411100.0,Atividades de organizações associativas patronais e empresariais,CENTRO,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
610627,LAR ESPIRITA MARIA MAXIMO,,3999,Associação Privada,2001.0,94.0,949.0,94910.0,Atividades de organizações religiosas,9491000.0,Atividades de organizações religiosas ou filosóficas,MACUCO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação infantil
610711,ASSOCIACAO CULTURA INGLESA - SAO PAULO,CULTURA INGLESA,3999,Associação Privada,1967.0,85.0,859.0,85937.0,Ensino de idiomas,8593700.0,Ensino de idiomas,BOQUEIRAO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Outras formas de educação/ensino
610768,ASSOCIACAO DOS FUNCIONARIOS PUBLICOS ESTADO SAO PAULO,DELEGACIA REGIONAL DE SANTOS,3999,Associação Privada,1976.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,GONZAGA,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
610850,SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO - SECONCI-SP,SECONCI,3999,Associação Privada,1976.0,86.0,863.0,86305.0,Atividades de atenção ambulatorial executadas por médicos e odontólogos,8630502.0,Atividade médica ambulatorial com recursos para realização de exames complementares,MACUCO,3548500.0,Santos,35.0,SP,Saúde,Outros serviços de saúde
611030,ASSOCIACAO DE OBSTETRICIA E GINECOLOGIA DO ESTADO DE SAO PAULO,SOGESP,3999,Associação Privada,2000.0,94.0,941.0,94120.0,Atividades de organizações associativas profissionais,9412000.0,Atividades de organizações associativas profissionais,GONZAGA,3548500.0,Santos,35.0,SP,"Associações patronais, profissionais e de produtores rurais",Associações profissionais
611268,INSTITUTO LUIZ ALCA - ACAUSA - ASSOCIACAO COMUNITARIA DE AUXILIO SANTISTA AO PORTADOR DO HIV/AIDS,A.C.A.U.S.A.,3999,Associação Privada,1990.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,GONZAGA,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
611392,ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,3999,Associação Privada,1990.0,85.0,851.0,85112.0,Educação infantil - creche,8511200.0,Educação infantil - creche,EMBARE,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação infantil
611489,CASA DA VISAO,,3999,Associação Privada,1991.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,VILA MATIAS,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos; Outras atividades associativas; Saúde,Associações de atividades não especificadas anteriormente; Outros serviços de saúde
611512,ASSOCIACAO JAPONESA DE SANTOS - AJS,AJS,3999,Associação Privada,1990.0,93.0,931.0,93123.0,"Clubes sociais, esportivos e similares",9312300.0,"Clubes sociais, esportivos e similares",VILA MATHIAS,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
611537,ASSOCIACAO SANTISTA DE ENSINO E CULTURA - ASEC,,3999,Associação Privada,1990.0,85.0,852.0,85201.0,Ensino médio,8520100.0,Ensino médio,PONTA DA PRAIA,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação superior
611546,ASSOCIACAO DE ASSISTENCIA A INFANCIA ESTRELA GUIA,,3999,Associação Privada,1991.0,85.0,851.0,85121.0,Educação infantil - pré-escola,8512100.0,Educação infantil - pré-escola,ESTUARIO,3548500.0,Santos,35.0,SP,Educação e pesquisa,Educação infantil
611682,NUCLEO DE REABILITACAO DE DEFICIENCIA INTELECTUAL SAO VICENTE DE PAULO,NUREX,3999,Associação Privada,1990.0,85.0,851.0,85139.0,Ensino fundamental,8513900.0,Ensino fundamental,ENCRUZILHADA,3548500.0,Santos,35.0,SP,Assistência social,Assistência social
611785,ASSOCIACAO DE PARTICIPANTES DO PORTUS,APP,3999,Associação Privada,1992.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,MACUCO,3548500.0,Santos,35.0,SP,Desenvolvimento e defesa de direitos,Outros
611802,ASSOCIACAO GRUPO ESPIRITA JOAO CABETE,JOAO CABETE,3999,Associação Privada,1991.0,94.0,943.0,94308.0,Atividades de associações de defesa de direitos sociais,9430800.0,Atividades de associações de defesa de direitos sociais,ESTUARIO,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos; Religião,Assistência social; Religião
611828,GREMIO RECREATIVO HOSPITAL ANA COSTA,GRHAC,3999,Associação Privada,1992.0,93.0,932.0,93298.0,Atividades de recreação e lazer não especificadas anteriormente,9329899.0,Outras atividades de recreação e lazer não especificadas anteriormente,CAMPO GRANDE,3548500.0,Santos,35.0,SP,Cultura e recreação,Esporte e recreação
611829,ASSOCIACAO DOS PORTADORES DE PARALISIA CEREBRAL,,3999,Associação Privada,1992.0,87.0,872.0,87204.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",8720499.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",MARAPE,3548500.0,Santos,35.0,SP,Assistência social; Educação e pesquisa,Assistência social; Ensino fundamental
611855,ASSOCIACAO DOS PORTADORES DE DEFICIENCIA MENTAL,APDM,3999,Associação Privada,1992.0,87.0,872.0,87204.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química",8720499.0,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente",VILA MATHIAS,3548500.0,Santos,35.0,SP,Assistência social; Desenvolvimento e defesa de direitos,Assistência social; Outros
