tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
MOVIMENTO DAS DONAS DE CASA E CONSUMIDORES DE SANTOS-MDCC-SANTOS,,Associação Privada,1999.0,,,JOSE MENINO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DE JOGADORES DE RPG DA BAIXADA SANTISTA,ARKHAN,Associação Privada,2000.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
CIRCULO DOS AMIGOS DA TROUPE TRALHA MEDICA - CATTAM,TROUPE TRALHA,Associação Privada,1998.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE AMIGOS E DE MELHORAMENTOS DO BAIRRO BOQUEIRAO,,Associação Privada,1991.0,,,MARAPE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO APLAUSO CONTEMPORANEO,CENTRO SANTISTA DE ARTE CONTEMPORANEA,Associação Privada,2001.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO SANTISTA DE FUTEBOL AMADOR - ASFA,,Associação Privada,2000.0,,,MARAPE,Cultura e recreação,Esporte e recreação
ASSOCIACAO METROPOLITANA DE ESPORTES RADICAIS,AMER,Associação Privada,2001.0,Atividades esportivas não especificadas anteriormente,Outras atividades esportivas não especificadas anteriormente,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
INDEPENDENTE FUTEBOL CLUBE,,Associação Privada,2001.0,,,CANELEIRA,Cultura e recreação,Esporte e recreação
REDE CIDADANIA,REDE CIDADANIA,Associação Privada,2001.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
CIRCOLO CULTURALE E SPORTIVO AMICI D'ITALIA,,Associação Privada,2001.0,,,VILA MATHIAS,Cultura e recreação,Esporte e recreação
INSTITUTO NEO MAMA DE PREVENCAO E COMBATE AO CANCER DE MAMA,INSTITUTO NEO MAMA,Fundação Privada,2002.0,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares",Centros de apoio a pacientes com câncer e com AIDS,VILA MATHIAS,Assistência social,Assistência social
ASSOCIACAO DE JULGADORES DE EVENTOS CULTURAIS DA BAIXADA SANTISTA E LITORAL,,Associação Privada,2002.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
COMITE PARA DEMOCRATIZACAO DA INFORMATICA DA BAIXADA SANTISTA - CDI-BAIXADA SANTISTA,CDI-BAIXADA SANTISTA,Associação Privada,2002.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
CARITAS DIOCESANA DE SANTOS,,Associação Privada,2002.0,,,MACUCO,Religião,Religião
LIGA DE DESPORTOS DE RENDIMENTO E DE BASE DA CAPITAL - VALE DO PARAIBA E LITORAL NORTE DO ESTADO DE SAO PAULO,,Associação Privada,2003.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
UNIAO NACIONAL DOS CONSELHOS MUNICIPAIS DE EDUCACAO - SAO PAULO,UNCME-SP,Associação Privada,2003.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
MINISTERIO EVANGELICO PROJETO NOVO TEMPO,,Associação Privada,2003.0,,,MACUCO,Religião,Religião
IGREJA MINISTERIO EVANGELICO COLUNAS DE FOGO,,Associação Privada,2003.0,Atividades de organizações religiosas,Atividades de organizações religiosas ou filosóficas,AREIA BRANCA,Religião,Religião
ASSOCIACAO DOS CICLISTAS DE SANTOS,CICLOSAN,Associação Privada,1998.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"ASSOCIACAO EVAS DE LAZER, CULTURA E QUALIDADE DE VIDA",ASSOCIACAO EVAS,Associação Privada,2004.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO PROFISSIONAL DA GUARDA PORTUARIA NOS SERVICOS DE VIGILANCIA E SEGURANCA DO PORTO ORGANIZADO DE SANTOS - APROGPORT,,Associação Privada,2005.0,Atividades de associações de defesa de direitos sociais,Atividades de associações de defesa de direitos sociais,VALONGO,Desenvolvimento e defesa de direitos,Outros
SOCIEDADE DE MELHORAMENTOS DO BAIRRO VILA NOVA DE SANTOS,SOMEVILAS,Associação Privada,2006.0,,,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
ACLI - SAO PAULO,NUCLEO SANTOS,Associação Privada,2005.0,,,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
PROJETO EDUCACIONAL DE CONSCIENTIZACAO E ORIENTACAO - PROECO,PROECO,Associação Privada,2007.0,,,JARDIM BOM RETIRO,Assistência social,Assistência social
CENTRO DE APOIO DE PORTADORES DE NECESSIDADES ESPECIAIS - CAPNE,CAPNE,Associação Privada,2007.0,,,CANELEIRA,Desenvolvimento e defesa de direitos,Outros
GREMIO RECREATIVO E CULTURAL ESCOLA DE SAMBA MOCIDADE AMAZONENSE,GRCESMA,Associação Privada,2007.0,,,MONTE CABRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO OBREIROS DE MARTIN AFONSO,,Associação Privada,2008.0,,,VILA MATHIAS,Cultura e recreação,Cultura e arte
ASSOCIACAO DOS LOJISTAS DO HOME DECOR,,Associação Privada,2008.0,,,JABAQUARA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"IGREJA EVANGELICA ASSEMBLEIA DE DEUS EM SANTOS, MINISTERIO DO BELEM",,Associação Privada,2008.0,,,BOM RETIRO,Religião,Religião
GREMIO RECREATIVO CULTURAL E ESCOLA DE SAMBA MOCIDADE INDEPENDENCIA,MOCIDADE,Associação Privada,2008.0,,,CENTRO,Cultura e recreação,Cultura e arte
IGREJA PENTECOSTAL DEUS RESTAURA COM AMOR,IGREJA PENTECOSTAL DEUS RESTAURA COM AMOR,Associação Privada,2008.0,,,MONTE CABRAO,Religião,Religião
TENDA DE UMBANDA CABLOCO SETE FLECHAS E SANTA BARBARA,,Associação Privada,2008.0,,,VILA MATHIAS,Religião,Religião
