razao_social_osc, nome_fantasia_osc, natureza_juridica, ano_inicio, classe_atividade_economica, subclasse_atividade_economica, bairro, area_atuacao, subarea_atuacao
ASSOCIACAO VIVER A VIDA EVA CAROLLINE,ASSOCIACAO VIVER A VIDA EVA CAROLLINE,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
LAR SINTONIA ESPIRITA,LAR SINTONIA ESPIRITA,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,EMBARE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO GUARDIA DO TEMPLO - AGT,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CASA DO OGAN,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CASTELO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO PARA O MELHORAMENTO VILA GILDA E CAMINHO DA DIVISA,ASSOCIACAO VILA GILDA E CAMINHO DA DIVISA,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,RADIO CLUBE,Desenvolvimento e defesa de direitos,Outros
LOJA SIMBOLICA 'VALTER PRANDO N.883','LOJA MACONICA VALTER PRANDO N.883',Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Religião,Religião
CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM,CENTRO DE MEDICINA DE REAB. LUCY MONTORO - SANTOS,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,APARECIDA,Saúde,Outros serviços de saúde
MINISTERIO EVANGELICO ANUNCIANDO O REINO DE DEUS AS NACOES,NÃO INFORMADO,Organização Religiosa,2020.0,NÃO INFORMADO,NÃO INFORMADO,ENCRUZILHADA,Religião,Religião
INSTITUTO MENSAGEIROS DA VERDADE MACUCO,NÃO INFORMADO,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,MACUCO,Desenvolvimento e defesa de direitos,Outros
FORCA TAREFA BRASILEIRA,F.T.B,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,MONTE CABRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO ESPIRITA CASA ROSA BRANCA DE SANTOS,CENTRO ESPIRITA CASA ROSA BRANCA DE SANTOS,Organização Religiosa,2020.0,NÃO INFORMADO,NÃO INFORMADO,ESTUARIO,Religião,Religião
ASSOCIACAO PATINACAO PARA TODOS - APT,ASSOCIACAO PATINACAO PARA TODOS - APT,Associação Privada,2020.0,NÃO INFORMADO,NÃO INFORMADO,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS CORRETORES DE IMOVEIS DO ESTADO DE SAO PAULO,NÃO INFORMADO,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
LIGA DE CLUBES DE VA A SANTISTA,NÃO INFORMADO,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MORADORES E COMERCIANTES DA CAMPOS MELO - AMOCCAM,NÃO INFORMADO,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
NOSSA SENHORA DO MONTE SERRAT ASSOCIACAO,NÃO INFORMADO,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Cultura e recreação,Esporte e recreação
SANTO AGOSTINHO ASSOCIACAO,NÃO INFORMADO,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
TAUPET,INSTITUTO TAUPET,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,MORRO NOVA CINTRA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
FORUM EMPRESARIAL HISPANO-BRASILEIRO,FEHB,Associação Privada,2021.0,NÃO INFORMADO,NÃO INFORMADO,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
